	drug_id	drug_name	drug_status
147	DB00173	Adenine	approved, nutraceutical
148	DB00174	Asparagine	approved, investigational, nutraceutical
149	DB00175	Pravastatin	approved
150	DB00176	Fluvoxamine	approved, investigational
151	DB00177	Valsartan	approved, investigational
152	DB00178	Ramipril	approved
153	DB00179	Masoprocol	approved, investigational
154	DB00180	Flunisolide	approved, investigational
155	DB00181	Baclofen	approved
156	DB00182	Amphetamine	approved, illicit, investigational
157	DB00183	Pentagastrin	approved
158	DB00184	Nicotine	approved
159	DB00185	Cevimeline	approved
160	DB00186	Lorazepam	approved
161	DB00187	Esmolol	approved
162	DB00188	Bortezomib	approved, investigational
163	DB00189	Ethchlorvynol	approved, illicit, withdrawn
164	DB00190	Carbidopa	approved
165	DB00191	Phentermine	approved, illicit
166	DB00192	Indecainide	approved
167	DB00193	Tramadol	approved, investigational
168	DB00194	Vidarabine	approved, investigational
169	DB00195	Betaxolol	approved, investigational
170	DB00196	Fluconazole	approved, investigational
171	DB00197	Troglitazone	investigational, withdrawn
172	DB00198	Oseltamivir	approved
173	DB00199	Erythromycin	approved, investigational, vet_approved
174	DB00200	Hydroxocobalamin	approved
175	DB00201	Caffeine	approved
176	DB00202	Succinylcholine	approved
177	DB00203	Sildenafil	approved, investigational
178	DB00204	Dofetilide	approved, investigational
179	DB00205	Pyrimethamine	approved, investigational, vet_approved
180	DB00206	Reserpine	approved, investigational
181	DB00207	Azithromycin	approved
182	DB00208	Ticlopidine	approved
183	DB00209	Trospium	approved
184	DB00210	Adapalene	approved
185	DB00211	Midodrine	approved
186	DB00212	Remikiren	experimental
187	DB00213	Pantoprazole	approved
188	DB00214	Torasemide	approved
189	DB00215	Citalopram	approved
190	DB00216	Eletriptan	approved, investigational
191	DB00217	Bethanidine	approved
192	DB00218	Moxifloxacin	approved, investigational
193	DB00219	Oxyphenonium	approved
194	DB00220	Nelfinavir	approved
195	DB00221	Isoetarine	approved
196	DB00222	Glimepiride	approved
197	DB00223	Diflorasone	approved
198	DB00224	Indinavir	approved
199	DB00226	Guanadrel	approved
200	DB00227	Lovastatin	approved, investigational
201	DB00228	Enflurane	approved, investigational, vet_approved
202	DB00229	Cefotiam	approved, investigational
203	DB00230	Pregabalin	approved, illicit, investigational
204	DB00231	Temazepam	approved, investigational
205	DB00232	Methyclothiazide	approved
206	DB00233	Aminosalicylic Acid	approved
207	DB00234	Reboxetine	approved, experimental
208	DB00235	Milrinone	approved
209	DB00237	Butabarbital	approved, illicit
210	DB00238	Nevirapine	approved
211	DB00239	Oxiconazole	approved
212	DB00240	Alclometasone	approved
213	DB00241	Butalbital	approved, illicit
214	DB00242	Cladribine	approved, investigational
215	DB00243	Ranolazine	approved, investigational
216	DB00244	Mesalazine	approved
217	DB00245	Benzatropine	approved
218	DB00246	Ziprasidone	approved
219	DB00247	Methysergide	approved
220	DB00248	Cabergoline	approved
221	DB00249	Idoxuridine	approved, investigational
222	DB00250	Dapsone	approved, investigational
223	DB00251	Terconazole	approved
224	DB00252	Phenytoin	approved, vet_approved
225	DB00253	Medrysone	approved
226	DB00255	Diethylstilbestrol	approved, investigational
227	DB00256	Lymecycline	approved, investigational
228	DB00257	Clotrimazole	approved, vet_approved
229	DB00259	Sulfanilamide	approved
230	DB00260	Cycloserine	approved
231	DB00261	Anagrelide	approved
232	DB00262	Carmustine	approved, investigational
233	DB00263	Sulfisoxazole	approved, vet_approved
234	DB00264	Metoprolol	approved, investigational
235	DB00266	Dicoumarol	approved
236	DB00267	Cefmenoxime	approved
237	DB00268	Ropinirole	approved, investigational
238	DB00269	Chlorotrianisene	investigational, withdrawn
239	DB00270	Isradipine	approved, investigational
240	DB00272	Betazole	approved
241	DB00273	Topiramate	approved
242	DB00274	Cefmetazole	approved, investigational
243	DB00275	Olmesartan	approved, investigational
244	DB00276	Amsacrine	approved, investigational
245	DB00277	Theophylline	approved
246	DB00278	Argatroban	approved, investigational
247	DB00279	Liothyronine	approved, vet_approved
248	DB00280	Disopyramide	approved
249	DB00281	Lidocaine	approved, vet_approved
250	DB00282	Pamidronic acid	approved
251	DB00283	Clemastine	approved, investigational
252	DB00284	Acarbose	approved, investigational
253	DB00285	Venlafaxine	approved
254	DB00286	Conjugated estrogens	approved
255	DB00287	Travoprost	approved
256	DB00288	Amcinonide	approved
257	DB00289	Atomoxetine	approved
258	DB00290	Bleomycin	approved, investigational
259	DB00292	Etomidate	approved
260	DB00293	Raltitrexed	approved, investigational
261	DB00294	Etonogestrel	approved, investigational
262	DB00295	Morphine	approved, investigational
263	DB00296	Ropivacaine	approved
264	DB00297	Bupivacaine	approved, investigational
265	DB00298	Dapiprazole	approved
266	DB00299	Penciclovir	approved
267	DB00300	Tenofovir disoproxil	approved, investigational
268	DB00301	Flucloxacillin	approved, investigational
269	DB00302	Tranexamic acid	approved
270	DB00303	Ertapenem	approved, investigational
271	DB00304	Desogestrel	approved
272	DB00306	Talbutal	approved, illicit
273	DB00307	Bexarotene	approved, investigational
274	DB00308	Ibutilide	approved
275	DB00309	Vindesine	approved, investigational
276	DB00310	Chlorthalidone	approved
277	DB00311	Ethoxzolamide	withdrawn
278	DB00312	Pentobarbital	approved, investigational, vet_approved
279	DB00313	Valproic Acid	approved, investigational
280	DB00315	Zolmitriptan	approved, investigational
281	DB00316	Acetaminophen	approved
282	DB00317	Gefitinib	approved, investigational
283	DB00318	Codeine	approved, illicit
284	DB00319	Piperacillin	approved
285	DB00320	Dihydroergotamine	approved, investigational
286	DB00321	Amitriptyline	approved
287	DB00322	Floxuridine	approved
288	DB00323	Tolcapone	approved, withdrawn
289	DB00324	Fluorometholone	approved, investigational
290	DB00325	Nitroprusside	approved, investigational
291	DB00327	Hydromorphone	approved, illicit
292	DB00328	Indometacin	approved, investigational
293	DB00330	Ethambutol	approved
294	DB00331	Metformin	approved
295	DB00332	Ipratropium	approved, experimental
296	DB00333	Methadone	approved, illicit
297	DB00334	Olanzapine	approved, investigational
298	DB00335	Atenolol	approved
299	DB00336	Nitrofural	approved, investigational, vet_approved
300	DB00337	Pimecrolimus	approved, investigational
301	DB00338	Omeprazole	approved, investigational, vet_approved
302	DB00340	Metixene	approved
303	DB00341	Cetirizine	approved
304	DB00342	Terfenadine	approved, withdrawn
305	DB00343	Diltiazem	approved, investigational
306	DB00344	Protriptyline	approved
307	DB00346	Alfuzosin	approved, investigational
308	DB00347	Trimethadione	approved
309	DB00348	Nitisinone	approved, investigational
310	DB00349	Clobazam	approved, illicit
311	DB00350	Minoxidil	approved, investigational
312	DB00351	Megestrol acetate	approved, investigational, vet_approved
313	DB00353	Methylergometrine	approved
314	DB00354	Buclizine	approved
315	DB00355	Aztreonam	approved
316	DB00356	Chlorzoxazone	approved
317	DB00357	Aminoglutethimide	approved, investigational
318	DB00358	Mefloquine	approved, investigational
319	DB00359	Sulfadiazine	approved, investigational, vet_approved
320	DB00360	Sapropterin	approved, investigational
321	DB00361	Vinorelbine	approved, investigational
322	DB00362	Anidulafungin	approved, investigational
323	DB00363	Clozapine	approved
324	DB00364	Sucralfate	approved
325	DB00365	Grepafloxacin	approved, investigational, withdrawn
326	DB00366	Doxylamine	approved, vet_approved
327	DB00367	Levonorgestrel	approved, investigational
328	DB00368	Norepinephrine	approved
329	DB00369	Cidofovir	approved
330	DB00370	Mirtazapine	approved
331	DB00371	Meprobamate	approved, illicit
332	DB00372	Thiethylperazine	approved, withdrawn
333	DB00373	Timolol	approved
334	DB00374	Treprostinil	approved, investigational
335	DB00376	Trihexyphenidyl	approved
336	DB00377	Palonosetron	approved, investigational
337	DB00378	Dydrogesterone	approved, investigational, withdrawn
338	DB00379	Mexiletine	approved, investigational
339	DB00380	Dexrazoxane	approved, withdrawn
340	DB00381	Amlodipine	approved
341	DB00382	Tacrine	approved, investigational, withdrawn
342	DB00383	Oxyphencyclimine	approved
343	DB00384	Triamterene	approved
344	DB00385	Valrubicin	approved
345	DB00387	Procyclidine	approved
346	DB00388	Phenylephrine	approved
347	DB00389	Carbimazole	approved, investigational
348	DB00390	Digoxin	approved
349	DB00391	Sulpiride	approved, investigational
350	DB00392	Profenamine	approved
351	DB00393	Nimodipine	approved, investigational
352	DB00394	Beclomethasone dipropionate	approved, investigational
353	DB00395	Carisoprodol	approved
354	DB00396	Progesterone	approved, vet_approved
355	DB00397	Phenylpropanolamine	approved, vet_approved, withdrawn
356	DB00398	Sorafenib	approved, investigational
357	DB00399	Zoledronic acid	approved
358	DB00400	Griseofulvin	approved, investigational, vet_approved
359	DB00401	Nisoldipine	approved
360	DB00402	Eszopiclone	approved, investigational
361	DB00403	Ceruletide	approved
362	DB00404	Alprazolam	approved, illicit, investigational
363	DB00405	Dexbrompheniramine	approved
364	DB00407	Ardeparin	approved, investigational, withdrawn
365	DB00408	Loxapine	approved
366	DB00409	Remoxipride	approved, withdrawn
367	DB00410	Mupirocin	approved, investigational, vet_approved
368	DB00411	Carbamoylcholine	approved
369	DB00412	Rosiglitazone	approved, investigational
370	DB00413	Pramipexole	approved, investigational
371	DB00414	Acetohexamide	approved, investigational, withdrawn
372	DB00415	Ampicillin	approved, vet_approved
373	DB00416	Metocurine Iodide	approved, withdrawn
374	DB00417	Phenoxymethylpenicillin	approved, vet_approved
375	DB00418	Secobarbital	approved, vet_approved
376	DB00419	Miglustat	approved
377	DB00420	Promazine	approved, vet_approved
378	DB00421	Spironolactone	approved
379	DB00422	Methylphenidate	approved, investigational
380	DB00423	Methocarbamol	approved, vet_approved
381	DB00424	Hyoscyamine	approved
382	DB00425	Zolpidem	approved
383	DB00426	Famciclovir	approved, investigational
384	DB00427	Triprolidine	approved
385	DB00428	Streptozocin	approved, investigational
386	DB00429	Carboprost tromethamine	approved
387	DB00430	Cefpiramide	approved
388	DB00431	Lindane	approved, withdrawn
389	DB00432	Trifluridine	approved, investigational
390	DB00433	Prochlorperazine	approved, vet_approved
391	DB00434	Cyproheptadine	approved
392	DB00435	Nitric Oxide	approved
393	DB00436	Bendroflumethiazide	approved
394	DB00437	Allopurinol	approved
395	DB00438	Ceftazidime	approved
396	DB00439	Cerivastatin	approved, withdrawn
397	DB00440	Trimethoprim	approved, vet_approved
398	DB00441	Gemcitabine	approved
399	DB00443	Betamethasone	approved, vet_approved
400	DB00444	Teniposide	approved
401	DB00445	Epirubicin	approved
402	DB00446	Chloramphenicol	approved, vet_approved
403	DB00447	Loracarbef	approved, investigational, withdrawn
404	DB00448	Lansoprazole	approved, investigational
405	DB00449	Dipivefrin	approved
406	DB00450	Droperidol	approved, vet_approved
407	DB00451	Levothyroxine	approved
408	DB00452	Framycetin	approved
409	DB00453	Clomocycline	experimental
410	DB00454	Meperidine	approved
411	DB00455	Loratadine	approved, investigational
412	DB00456	Cefalotin	approved, investigational, vet_approved
413	DB00457	Prazosin	approved
414	DB00458	Imipramine	approved
415	DB00459	Acitretin	approved
416	DB00461	Nabumetone	approved
417	DB00462	Methscopolamine bromide	approved
418	DB00463	Metharbital	withdrawn
419	DB00464	Sodium Tetradecyl Sulfate	approved, investigational
420	DB00465	Ketorolac	approved
421	DB00466	Picrotoxin	experimental
422	DB00467	Enoxacin	approved, investigational
423	DB00468	Quinine	approved
424	DB00469	Tenoxicam	approved
425	DB00470	Dronabinol	approved, illicit
426	DB00471	Montelukast	approved
427	DB00472	Fluoxetine	approved, vet_approved
428	DB00473	Hexylcaine	approved, withdrawn
429	DB00474	Methohexital	approved
430	DB00475	Chlordiazepoxide	approved, illicit, investigational
431	DB00476	Duloxetine	approved
432	DB00477	Chlorpromazine	approved, investigational, vet_approved
433	DB00478	Rimantadine	approved, investigational
434	DB00479	Amikacin	approved, investigational, vet_approved
435	DB00480	Lenalidomide	approved
436	DB00481	Raloxifene	approved, investigational
437	DB00482	Celecoxib	approved, investigational
438	DB00483	Gallamine Triethiodide	approved
439	DB00484	Brimonidine	approved
440	DB00485	Dicloxacillin	approved, investigational, vet_approved
441	DB00486	Nabilone	approved, investigational
442	DB00487	Pefloxacin	approved
443	DB00489	Sotalol	approved
444	DB00490	Buspirone	approved, investigational
445	DB00491	Miglitol	approved
446	DB00492	Fosinopril	approved
447	DB00493	Cefotaxime	approved
448	DB00494	Entacapone	approved, investigational
449	DB00495	Zidovudine	approved
450	DB00496	Darifenacin	approved, investigational
451	DB00497	Oxycodone	approved, illicit, investigational
452	DB00498	Phenindione	approved, investigational
453	DB00499	Flutamide	approved, investigational
454	DB00500	Tolmetin	approved
455	DB00501	Cimetidine	approved, investigational
456	DB00502	Haloperidol	approved
457	DB00503	Ritonavir	approved, investigational
458	DB00504	Levallorphan	approved
459	DB00505	Tridihexethyl	withdrawn
460	DB00507	Nitazoxanide	approved, investigational, vet_approved
461	DB00508	Triflupromazine	approved, vet_approved
462	DB00509	Dextrothyroxine	approved, investigational
463	DB00511	Acetyldigitoxin	approved
464	DB00513	Aminocaproic Acid	approved, investigational
465	DB00514	Dextromethorphan	approved
466	DB00515	Cisplatin	approved
467	DB00517	Anisotropine methylbromide	approved
468	DB00518	Albendazole	approved, vet_approved
469	DB00519	Trandolapril	approved
470	DB00520	Caspofungin	approved
471	DB00521	Carteolol	approved
472	DB00522	Bentiromide	investigational, withdrawn
473	DB00523	Alitretinoin	approved, investigational
474	DB00524	Metolazone	approved
475	DB00525	Tolnaftate	approved, investigational, vet_approved
476	DB00527	Cinchocaine	approved, vet_approved
477	DB00528	Lercanidipine	approved, investigational
478	DB00529	Foscarnet	approved
479	DB00530	Erlotinib	approved, investigational
480	DB00531	Cyclophosphamide	approved, investigational
481	DB00532	Mephenytoin	approved, investigational, withdrawn
482	DB00533	Rofecoxib	approved, investigational, withdrawn
483	DB00534	Chlormerodrin	approved, withdrawn
484	DB00535	Cefdinir	approved
485	DB00536	Guanidine	approved
486	DB00537	Ciprofloxacin	approved, investigational
487	DB00539	Toremifene	approved, investigational
488	DB00540	Nortriptyline	approved
489	DB00541	Vincristine	approved, investigational
490	DB00542	Benazepril	approved, investigational
491	DB00543	Amoxapine	approved
492	DB00544	Fluorouracil	approved
493	DB00545	Pyridostigmine	approved, investigational
494	DB00546	Adinazolam	experimental
495	DB00547	Desoximetasone	approved
496	DB00548	Azelaic acid	approved
497	DB00549	Zafirlukast	approved, investigational
498	DB00550	Propylthiouracil	approved, investigational
499	DB00551	Acetohydroxamic acid	approved
500	DB00552	Pentostatin	approved, investigational
501	DB00554	Piroxicam	approved, investigational
502	DB00555	Lamotrigine	approved, investigational
503	DB00557	Hydroxyzine	approved
504	DB00558	Zanamivir	approved, investigational
505	DB00559	Bosentan	approved, investigational
506	DB00560	Tigecycline	approved
507	DB00561	Doxapram	approved, vet_approved
508	DB00562	Benzthiazide	approved
509	DB00563	Methotrexate	approved
510	DB00564	Carbamazepine	approved, investigational
511	DB00565	Cisatracurium	approved
512	DB00567	Cephalexin	approved, investigational, vet_approved
513	DB00568	Cinnarizine	approved, investigational
514	DB00569	Fondaparinux	approved, investigational
515	DB00570	Vinblastine	approved
516	DB00571	Propranolol	approved, investigational
517	DB00572	Atropine	approved, vet_approved
518	DB00573	Fenoprofen	approved
519	DB00574	Fenfluramine	approved, illicit, investigational, withdrawn
520	DB00575	Clonidine	approved
521	DB00576	Sulfamethizole	approved, investigational, vet_approved
522	DB00577	Valaciclovir	approved, investigational
523	DB00578	Carbenicillin	approved, investigational
524	DB00579	Mazindol	approved, investigational
525	DB00580	Valdecoxib	approved, investigational, withdrawn
526	DB00581	Lactulose	approved
527	DB00582	Voriconazole	approved, investigational
528	DB00583	Levocarnitine	approved, investigational
529	DB00584	Enalapril	approved, vet_approved
530	DB00585	Nizatidine	approved
531	DB00586	Diclofenac	approved, vet_approved
532	DB00587	Cinalukast	experimental
533	DB00588	Fluticasone propionate	approved
534	DB00589	Lisuride	approved, investigational
535	DB00590	Doxazosin	approved
536	DB00591	Fluocinolone acetonide	approved, investigational, vet_approved
537	DB00592	Piperazine	approved, vet_approved
538	DB00593	Ethosuximide	approved
539	DB00594	Amiloride	approved
540	DB00595	Oxytetracycline	approved, investigational, vet_approved
541	DB00596	Ulobetasol	approved
542	DB00598	Labetalol	approved
543	DB00599	Thiopental	approved, vet_approved
544	DB00600	Monobenzone	approved
545	DB00602	Ivermectin	approved, investigational, vet_approved
546	DB00603	Medroxyprogesterone acetate	approved, investigational
547	DB00604	Cisapride	approved, investigational, withdrawn
548	DB00605	Sulindac	approved, investigational
549	DB00606	Cyclothiazide	approved
550	DB00607	Nafcillin	approved, investigational
551	DB00608	Chloroquine	approved, investigational, vet_approved
552	DB00609	Ethionamide	approved
553	DB00610	Metaraminol	approved, investigational
554	DB00611	Butorphanol	approved, illicit, vet_approved
555	DB00612	Bisoprolol	approved
556	DB00613	Amodiaquine	approved, investigational
557	DB00615	Rifabutin	approved, investigational
558	DB00616	Candoxatril	experimental
559	DB00617	Paramethadione	approved
560	DB00618	Demeclocycline	approved
561	DB00619	Imatinib	approved
562	DB00620	Triamcinolone	approved, vet_approved
563	DB00621	Oxandrolone	approved, investigational
564	DB00622	Nicardipine	approved, investigational
565	DB00623	Fluphenazine	approved
566	DB00624	Testosterone	approved, investigational
567	DB00625	Efavirenz	approved, investigational
568	DB00626	Bacitracin	approved, vet_approved
569	DB00627	Niacin	approved, investigational, nutraceutical
570	DB00628	Clorazepic acid	approved, illicit
571	DB00629	Guanabenz	approved, investigational
572	DB00630	Alendronic acid	approved
573	DB00631	Clofarabine	approved, investigational
574	DB00632	Docosanol	approved, investigational
575	DB00633	Dexmedetomidine	approved, vet_approved
576	DB00634	Sulfacetamide	approved
577	DB00635	Prednisone	approved, vet_approved
578	DB00636	Clofibrate	approved, investigational
579	DB00637	Astemizole	approved, withdrawn
580	DB00638	Inulin	approved, investigational, nutraceutical
581	DB00640	Adenosine	approved, investigational
582	DB00641	Simvastatin	approved
583	DB00642	Pemetrexed	approved, investigational
584	DB00643	Mebendazole	approved, vet_approved
585	DB00644	Gonadorelin	approved, investigational, vet_approved
586	DB00645	Dyclonine	approved
587	DB00647	Dextropropoxyphene	approved, illicit, investigational, withdrawn
588	DB00648	Mitotane	approved
589	DB00649	Stavudine	approved, investigational
590	DB00651	Dyphylline	approved
591	DB00652	Pentazocine	approved, vet_approved
592	DB00653	Magnesium sulfate	approved, investigational, vet_approved
593	DB00654	Latanoprost	approved, investigational
594	DB00655	Estrone	approved
595	DB00656	Trazodone	approved, investigational
596	DB00657	Mecamylamine	approved, investigational
597	DB00659	Acamprosate	approved, investigational
598	DB00661	Verapamil	approved
599	DB00663	Flumethasone	approved, vet_approved
600	DB00664	Sulfametopyrazine	approved, withdrawn
601	DB00665	Nilutamide	approved, investigational
602	DB00666	Nafarelin	approved
603	DB00668	Epinephrine	approved, vet_approved
604	DB00669	Sumatriptan	approved, investigational
605	DB00670	Pirenzepine	approved
606	DB00671	Cefixime	approved, investigational
607	DB00672	Chlorpropamide	approved, investigational
608	DB00673	Aprepitant	approved, investigational
609	DB00674	Galantamine	approved
610	DB00675	Tamoxifen	approved
611	DB00677	Isoflurophate	approved, investigational, withdrawn
612	DB00678	Losartan	approved
613	DB00679	Thioridazine	approved, withdrawn
614	DB00680	Moricizine	approved, investigational, withdrawn
615	DB00682	Warfarin	approved
616	DB00683	Midazolam	approved, illicit
617	DB00684	Tobramycin	approved, investigational
618	DB00685	Trovafloxacin	approved, investigational, withdrawn
619	DB00686	Pentosan Polysulfate	approved
620	DB00687	Fludrocortisone	approved, investigational
621	DB00688	Mycophenolate mofetil	approved, investigational
622	DB00689	Cephaloglycin	approved
623	DB00690	Flurazepam	approved, illicit, investigational
624	DB00691	Moexipril	approved
625	DB00692	Phentolamine	approved
626	DB00693	Fluorescein	approved
627	DB00694	Daunorubicin	approved
628	DB00695	Furosemide	approved, vet_approved
629	DB00696	Ergotamine	approved
630	DB00697	Tizanidine	approved, investigational
631	DB00698	Nitrofurantoin	approved, vet_approved
632	DB00699	Nicergoline	approved, investigational
633	DB00700	Eplerenone	approved
634	DB00701	Amprenavir	approved, investigational
635	DB00703	Methazolamide	approved
636	DB00704	Naltrexone	approved, investigational, vet_approved
637	DB00705	Delavirdine	approved
638	DB00706	Tamsulosin	approved, investigational
639	DB00707	Porfimer sodium	approved, investigational
640	DB00708	Sufentanil	approved, investigational
641	DB00709	Lamivudine	approved, investigational
642	DB00710	Ibandronate	approved, investigational
643	DB00711	Diethylcarbamazine	approved, investigational, vet_approved
644	DB00712	Flurbiprofen	approved, investigational
645	DB00713	Oxacillin	approved, investigational
646	DB00714	Apomorphine	approved, investigational
647	DB00715	Paroxetine	approved, investigational
648	DB00716	Nedocromil	approved, investigational
649	DB00717	Norethisterone	approved
650	DB00718	Adefovir dipivoxil	approved, investigational
651	DB00719	Azatadine	approved
652	DB00720	Clodronic acid	approved, investigational, vet_approved
653	DB00721	Procaine	approved, investigational, vet_approved
