mondo_id	label	icd10
0008120	spinocerebellar ataxia type 7	[G11.8]
0009452	Vici syndrome	[Q87.8]
0009458	Schimke immuno-osseous dysplasia	[Q77.7]
0010431	Joubert syndrome 10	[]
0011762	autosomal recessive nonsyndromic deafness 22	[H90.3]
0010432	thrombophilia, X-linked, due to factor 9 defect	[]
0011764	autosomal dominant Parkinson disease 8	[]
0010434	synovial sarcoma (disease)	[C49.9]
0011765	multiple epiphyseal dysplasia type 5	[Q77.3]
0011760	Scheie syndrome	[E76.0]
0010430	intellectual disability, X-linked 97	[]
0009406	hypertrichotic osteochondrodysplasia Cantu type	[Q87.3]
0011728	blepharospasm	[G24.5]
0011724	encephalopathy due to GLUT1 deficiency	[G93.4]
0011725	Crigler-Najjar syndrome type 2	[E80.5]
0009401	hyperprolinemia type 2	[E72.5]
0011730	fumaric aciduria	[E88.8]
0010400	X-linked scapuloperoneal muscular dystrophy	[G71.0]
0010401	X-linked myopathy with postural muscle atrophy	[G71.0]
0011732	familial digital arthropathy-brachydactyly	[M06.8]
0011738	bilateral frontoparietal polymicrogyria	[Q04.3]
0010407	syndromic X-linked intellectual disability Turner type	[Q87.8]
0010408	syndactyly-telecanthus-anogenital and renal malformations syndrome	[Q87.8]
0010402	syndromic X-linked intellectual disability 94	[F72]
0010404	X-linked non progressive cerebellar ataxia	[G11.0]
0011740	Carney-Stratakis syndrome	[D44.8]
0011743	Alzheimer disease 4	[]
0009428	childhood hypophosphatasia	[E83.3]
0011706	Kufor-Rakeb syndrome	[G23.0]
0009426	hypoparathyroidism-retardation-dysmorphism syndrome	[Q87.1]
0011707	familial dyskinesia and facial myokymia	[G51.4]
0009427	infantile hypophosphatasia	[E83.3]
0011702	dilated cardiomyopathy 1L	[I42.0]
0011703	spongiform encephalopathy with neuropsychiatric features	[]
0009421	hypogonadism, male	[]
0011708	autosomal dominant nonsyndromic deafness 36	[H90.3]
0011715	Seckel syndrome 2	[]
0009415	hypoglycemia, leucine-induced	[]
0011717	hyperinsulinism-hyperammonemia syndrome	[E72.8]
0011718	primary ciliary dyskinesia 2	[Q34.8]
0011712	van der Woude syndrome 2	[]
0009419	Woodhouse-Sakati syndrome	[Q87.8]
0011714	partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome	[]
0009410	Addison disease	[E27.1]
0009413	immunodeficiency, common variable, 2	[]
0011719	gastrointestinal stromal tumor	[C26.9]
0009414	glycogen storage disease due to hepatic glycogen synthase deficiency	[E74.0]
0009411	autoimmune polyendocrine syndrome type 1	[E31.0]
0011720	spermatogenic failure 3	[]
0011721	distal myopathy with anterior tibial onset	[G71.0]
0008198	parietal foramina with cleidocranial dysplasia	[Q74.0]
0008199	late-onset Parkinson disease	[]
0008196	parastremmatic dwarfism	[Q87.1]
0021181	inherited blood coagulation disorder	[]
0021187	hyperlipidemia (disease)	[E78.5]
0021169	epithelioid hemangioma	[]
0021168	hibernoma	[]
0010479	Charcot-Marie-Tooth disease X-linked dominant 6	[G60.0]
0009486	autosomal recessive Kenny-Caffey syndrome	[Q87.1]
0008153	progressive osseous heteroplasia	[M61.5]
0008156	autosomal dominant osteopetrosis 2	[Q78.2]
0009485	oculocerebrofacial syndrome, Kaufman type	[Q87.0]
0008159	postmenopausal osteoporosis	[]
0010480	anemia, nonspherocytic hemolytic, due to G6PD deficiency	[]
0008150	osteoglophonic dwarfism	[Q87.1]
0009482	hypogonadotropic hypogonadism 3 with or without anosmia	[E23.0]
0008152	multicentric carpo-tarsal osteolysis with or without nephropathy	[]
0009480	Joubert syndrome with oculorenal defect	[Q04.3]
0008151	gnathodiaphyseal dysplasia	[]
0010486	palmoplantar keratoderma, mutilating, with periorificial keratotic plaques, X-linked	[]
0010487	intellectual disability, X-linked 99	[]
0010488	intellectual disability, X-linked 100	[]
0010489	intellectual disability, X-linked 101	[]
0010482	X-linked parkinsonism-spasticity syndrome	[G20]
0010483	X-linked intellectual disability, Cantagrel type	[Q87.8]
0010484	deafness, X-linked 6	[]
0010485	X-linked colobomatous microphthalmia-microcephaly-intellectual disability-short stature syndrome	[Q87.0]
0009475	isovaleric acidemia	[E71.1,E71.110]
0008143	osteoarthritis susceptibility 1	[]
0008145	Ollier disease	[Q78.4]
0009479	Johanson-Blizzard syndrome	[Q87.8]
0021148	female reproductive system neoplasm	[]
0009478	combined immunodeficiency due to DOCK8 deficiency	[D81.1]
0008148	osteogenesis imperfecta type 4	[Q78.0]
0021146	headache disorder	[]
0010490	SSR4-CDG	[E77.8]
0010491	X-linked acrogigantism due to Xq26 microduplication	[E22.0]
0010492	pituitary adenoma, growth hormone-secreting, 2	[]
0010497	intellectual disability, X-linked 102	[]
0010498	MEND syndrome	[Q87.8]
0010499	Ritscher-Schinzel syndrome 2	[]
0010493	Diamond-Blackfan anemia 14 with mandibulofacial dysostosis	[]
0010494	linear skin defects with multiple congenital anomalies 3	[]
0010495	trichothiodystrophy 5, nonphotosensitive	[]
0010496	X-linked intellectual disability-short stature-overweight syndrome	[]
0010457	Ogden syndrome	[]
0011789	familial meningioma	[]
0010459	amyotrophic lateral sclerosis type 15	[]
0008176	Paget disease of bone 3	[]
0008179	paroxysmal extreme pain disorder	[]
0021113	respiratory failure	[J96.0]
0021107	narcolepsy	[]
0021108	meningitis (disease)	[]
0008170	ovarian cancer	[C56]
0011790	Amish lethal microcephaly	[Q02]
0008172	PHOAD	[]
0008171	nephrolithiasis	[N20,N20.2]
0011797	infantile-onset ascending hereditary spastic paralysis	[G12.2]
0010466	multiple congenital anomalies-hypotonia-seizures syndrome 2	[Q87.8]
0011798	hypoprebetalipoproteinemia, acanthocytosis, retinitis pigmentosa, and pallidal degeneration	[]
0010467	Xq27.3q28 duplication syndrome	[Q99.8]
0010461	syndromic X-linked intellectual disability Nascimento type	[Q87.8]
0011792	thyroid dyshormonogenesis 6	[]
0011794	Dravet syndrome	[G40.4]
0010463	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	[Q87.8]
0010469	epsilon-trimethyllysine hydroxylase deficiency	[]
0008165	southeast Asian ovalocytosis	[D58.1]
0009495	Keutel syndrome	[Q87.8]
0009499	Krabbe disease	[E75.2,E75.23]
0021124	female infertility	[N97]
0009490	Papillon-Lefevre disease	[Q82.8]
0008161	otodental syndrome	[K00.2]
0008163	otofaciocervical syndrome	[Q87.0]
0009491	Haim-Munk syndrome	[Q82.8]
0010475	X-linked central congenital hypothyroidism with late-onset testicular enlargement	[E03.1]
0010476	neurodegeneration with brain iron accumulation 5	[G23.0]
0010477	blepharophimosis - intellectual disability syndrome, MKB type	[]
0010478	SLC35A2-CDG	[E77.8]
0010471	Cornelia de Lange syndrome 5	[]
0010472	ALG13-CDG	[E77.8]
0010473	X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome	[]
0010474	linear skin defects with multiple congenital anomalies 2	[]
0021073	paraneoplastic syndrome	[]
0021071	laryngeal neoplasm	[]
0021084	vision disorder	[]
0021085	gastric neoplasm	[]
0045030	non-infectious diarrheal disease	[]
0045031	infectious diarrheal disease	[]
0021088	papillary meningioma	[]
0009329	pulmonary venoocclusive disease 2	[D18.0]
0010319	syndromic X-linked intellectual disability Hedera type	[]
0012977	autosomal recessive nonsyndromic deafness 1B	[H90.3]
0012976	autosomal dominant nonsyndromic deafness 2B	[H90.3]
0012979	primary ciliary dyskinesia 12	[Q34.8]
0010316	FG syndrome 3	[]
0010317	intellectual disability, X-linked, with or without seizures, arx-related	[]
0012978	primary ciliary dyskinesia 11	[Q34.8]
0024965	muscular dystrophy, non-human animal	[]
0000994	malignant prostate phyllodes tumor	[]
0009325	deafness-enamel hypoplasia-nail defects syndrome	[]
0009324	Hartnup disease	[E72.02,E72.0]
0000986	pleurisy	[R09.1]
0011652	Phelan McDermid syndrome	[Q93.5]
0012984	PHARC syndrome	[]
0012983	cone-rod dystrophy 12	[]
0010323	Atkin-Flaitz syndrome	[Q87.8]
0012986	bilateral parasagittal parieto-occipital polymicrogyria	[Q04.3]
0011655	alveolar soft part sarcoma (disease)	[C49.9]
0012985	hereditary spherocytosis type 5	[]
0012980	endocrine-cerebro-osteodysplasia syndrome	[Q87.8]
0012982	episodic ataxia type 6	[G11.8]
0012981	hereditary spherocytosis type 4	[]
0010320	retinitis pigmentosa 23	[H35.5]
0009318	Hallermann-Streiff syndrome	[Q87.0]
0009319	pantothenate kinase-associated neurodegeneration	[G23.0]
0012988	hypogonadotropic hypogonadism 6 with or without anosmia	[E23.0]
0010325	X-linked intellectual disability, Stocco dos Santos type	[Q87.8]
0010326	intellectual disability, X-linked 46	[]
0012987	agammaglobulinemia 6, autosomal recessive	[]
0011658	autosomal recessive early-onset Parkinson disease 7	[]
0010328	alpha-thalassemia-myelodysplastic syndrome	[D46.7,D56.0]
0012989	microcephaly 7, primary, autosomal recessive	[]
0009310	granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 2	[]
0009314	GTP-cyclohydrolase I deficiency	[E70.1]
0009315	congenital factor XII deficiency	[D68.2]
0000979	pinta disease	[A67.3,A67.2,A67.1,A67.0,A67,A67.9]
0011663	juvenile primary lateral sclerosis	[G12.2]
0012994	dopa-responsive dystonia due to sepiapterin reductase deficiency	[G24.1]
0011664	immunodeficiency due to CD25 deficiency	[D81.2]
0012996	AGAT deficiency	[E72.8]
0012991	Kahrizi syndrome	[]
0012990	Leber congenital amaurosis 13	[H35.5]
0010330	primary ciliary dyskinesia-retinitis pigmentosa syndrome	[]
0012992	pancreatic insufficiency-anemia-hyperostosis syndrome	[]
0008019	mullerian aplasia and hyperandrogenism	[Q51.8]
0008018	Muir-Torre syndrome	[L72.8]
0011628	propionic acidemia	[E71.1,E71.121]
0011629	MOGS-CDG	[E77.8]
0011623	spinocerebellar ataxia, autosomal recessive 1	[]
0011624	transaldolase deficiency	[E74.8]
0009341	Mowat-Wilson syndrome	[Q43.1]
0009345	histidinemia	[E70.8,E70.41]
0008016	trismus-pseudocamptodactyly syndrome	[Q68.8]
0009346	histidinuria due to a renal tubular defect	[E70.8]
0011630	retinitis pigmentosa 28	[H35.5]
0011631	hemochromatosis type 4	[E83.1]
0012964	chromosome 15q26-qter deletion syndrome	[Q93.5]
0012960	intellectual disability, autosomal dominant 5	[]
0011638	neuroferritinopathy	[G23.0]
0011639	Diamond-Blackfan anemia 15 with mandibulofacial dysostosis	[]
0010308	thrombocytopenia, X-linked, with or without dyserythropoietic anemia	[]
0009338	hepatic veno-occlusive disease-immunodeficiency syndrome	[K76.5]
0009339	congenital bile acid synthesis defect 2	[K76.8]
0008009	monilethrix	[Q84.1]
0011634	rippling muscle disease	[G71.8]
0012967	hemolytic anemia due to adenylate kinase deficiency	[D55.3]
0010306	X-linked intellectual disability, Cabezas type	[Q87.8]
0008000	migraine with or without aura, susceptibility to, 1	[]
0009331	isolated hemihyperplasia	[Q87.3]
0008004	familial mitral valve prolapse	[I34.1]
0009337	Hennekam lymphangiectasia-lymphedema syndrome 1	[]
0008006	Mobius syndrome	[Q87.0]
0010310	osteopathia striata with cranial sclerosis	[Q78.8]
0010311	Becker muscular dystrophy	[G71.0]
0012975	autosomal dominant nonsyndromic deafness 3B	[H90.3]
0011643	permanent neonatal diabetes mellitus	[P70.2]
0010313	intellectual disability, X-linked 63	[]
0011640	genitopatellar syndrome	[Q87.8]
0012939	Diamond-Blackfan anemia 8	[]
0012938	Diamond-Blackfan anemia 7	[]
0011601	neonatal intrahepatic cholestasis due to citrin deficiency	[E72.2]
0000942	corneal disease	[H18.9]
0011610	dimethylglycine dehydrogenase deficiency	[E72.5]
0012941	inflammatory bowel disease 25	[]
0012947	intellectual disability, autosomal dominant 4	[]
0011612	glycine encephalopathy	[E72.5,E72.51]
0012943	retinitis pigmentosa 46	[H35.5]
0011614	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	[E71.3]
0012946	intellectual disability, autosomal dominant 3	[]
0011615	East Texas bleeding disorder	[D68.2]
0012945	amyotrophic lateral sclerosis type 11	[]
0023601	non-classic congenital adrenal hyperplasia	[]
0009308	granulomatous disease, chronic, autosomal recessive, cytochrome b-negative	[]
0009306	combined immunodeficiency with skin granulomas	[D81.1]
0012911	pseudohypoparathyroidism type 1C	[E20.1]
0009309	granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 1	[]
0012912	pseudopseudohypoparathyroidism	[E20.1]
0012919	type 1 diabetes mellitus 20	[E10]
0012918	primary ciliary dyskinesia 10	[Q34.8]
0009304	Gorlin-Chaudhry-Moss syndrome	[Q87.0]
0000966	pleomorphic lipoma	[]
0012926	amelogenesis imperfecta hypomaturation type 2A2	[K00.5]
0012925	Diamond-Blackfan anemia 5	[]
0012928	hereditary spastic paraplegia 42	[G11.4]
0012921	type 1 diabetes mellitus 22	[E10]
0012924	Diamond-Blackfan anemia 4	[]
0012923	congenital generalized lipodystrophy type 3	[E88.1]
0000960	diabetic peripheral angiopathy	[]
0012929	Compton-North congenital myopathy	[G71.2]
0000958	neuroretinitis	[H30.9]
0011600	congenital myasthenic syndrome 4A	[]
0012930	autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	[D70]
0021055	classic familial adenomatous polyposis	[D12.6]
0021053	carotid body paraganglioma	[]
0008078	neurofibromatosis, familial spinal	[]
0008075	neurofibromatosis type 3	[Q85.0,Q85.03]
0033043	spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy	[]
0033046	Meier-Gorlin syndrome 8	[]
0033047	Perrault syndrome 6	[]
0022394	cervical intraepithelial neoplasia	[]
0021063	malignant colon neoplasm	[C18.9,C18]
0021061	neurofibromatosis	[Q85.02,Q85.01,Q85.00]
0045011	keratinization disease	[]
0021064	jugulotympanic paraganglioma	[]
0009397	neonatal severe primary hyperparathyroidism	[E21.0]
0021065	pleural neoplasm	[]
0009390	hyperlysinuria with hyperammonemia	[]
0008060	nonsyndromic congenital nail disorder 1	[L60.3,Q84.6]
0008062	narcolepsy 1	[]
0008061	nail-patella syndrome	[Q87.2]
0009393	ornithine translocase deficiency	[E72.4]
0008099	congenital stationary night blindness autosomal dominant 2	[]
0021035	alopecia-intellectual disability syndrome 1	[]
0008090	cyclic hematopoiesis	[D70,D70.4]
0010381	Tn polyagglutination syndrome	[]
0010382	fragile X-associated tremor/ataxia syndrome	[G11.2]
0008092	hereditary neutrophilia	[D72.8]
0008094	familial multiple nevi flammei	[Q82.5]
0010387	invasive pneumococcal disease, recurrent isolated, 2	[]
0010388	rolandic epilepsy, mental retardation, and speech dyspraxia, X-linked	[]
0010389	X-linked mendelian susceptibility to mycobacterial diseases due to CYBB deficiency	[D84.8]
0010383	fragile X syndrome	[Q99.2]
0010384	hypospadias 1, X-linked	[]
0010385	X-linked lymphoproliferative disease due to XIAP deficiency	[D82.3]
0010386	X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency	[D84.8]
0008087	hereditary neuropathy with liability to pressure palsies	[G60.0]
0021042	glioma	[]
0010390	ocular albinism with late-onset sensorineural deafness	[E70.3]
0008082	multiple endocrine neoplasia type 2B	[D44.8,E31.23]
0010392	glycogen storage disease due to phosphoglycerate kinase 1 deficiency	[E74.0]
0010393	intellectual disability, X-linked 93	[]
0008083	neuronal ceroid lipofuscinosis 4B	[E75.4]
0010398	syndromic X-linked intellectual disability 14	[Q87.8]
0010399	chromosome Xp21 deletion syndrome	[Q99.8]
0033013	erythrokeratodermia variabilis et progressiva 3	[]
0033012	erythrokeratodermia variabilis et progressiva 2	[]
0033014	erythrokeratodermia variabilis et progressiva 4	[]
0010395	phosphoribosylpyrophosphate synthetase superactivity	[E79.8]
0010396	epileptic encephalopathy, early infantile, 2	[G40.4]
0010397	severe neonatal-onset encephalopathy with microcephaly	[Q02]
0010359	Dent disease type 2	[N25.8]
0009365	hydrolethalus syndrome 1	[]
0008032	autosomal dominant limb-girdle muscular dystrophy type 1A	[G71.0]
0009369	non-immune hydrops fetalis	[P56.9,P83.2]
0009367	McKusick-Kaufman syndrome	[Q87.8]
0008038	ataxia-pancytopenia syndrome	[D61.0]
0008031	facioscapulohumeral muscular dystrophy 2	[]
0011698	glycine N-methyltransferase deficiency	[E72.1]
0010368	immunodeficiency without anhidrotic ectodermal dysplasia	[]
0010361	intellectual disability, X-linked 30	[]
0011694	spinocerebellar ataxia type 15/16	[G11.2]
0010363	intellectual disability, X-linked 91	[]
0008029	Bethlem myopathy	[G71.0]
0009354	methylcobalamin deficiency type cblE	[E72.1]
0008024	neuronopathy, distal hereditary motor, type 7A	[]
0009352	classic homocystinuria	[E72.1]
0008026	autosomal dominant childhood-onset proximal spinal muscular atrophy without contractures	[G12.1]
0009359	multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome	[]
0008025	neuronopathy, distal hereditary motor, type 2A	[]
0021019	X-linked recessive ocular albinism	[E70.3]
0010370	Cornelia de Lange syndrome 2	[]
0021018	autosomal dominant limb-girdle muscular dystrophy type 1D (DNAJB6)	[G71.0]
0010371	Aland island eye disease	[H35.5]
0009351	homocarnosinosis	[E72.8]
0010378	X-linked hereditary sensory and autonomic neuropathy with deafness	[G60.8]
0010379	Brunner syndrome	[E70.8]
0010373	premature ovarian failure 2B	[]
0010375	hyperekplexia-epilepsy syndrome	[G25.8]
0012999	guanidinoacetate methyltransferase deficiency	[E72.8]
0011668	maturity-onset diabetes of the young type 6	[]
0010338	X-linked distal spinal muscular atrophy type 3	[G12.2]
0010339	X-linked epilepsy-learning disabilities-behavior disorders syndrome	[Q87.8]
0009388	hyperlysinemia (disease)	[E72.3]
0008054	juvenile dermatomyositis	[M33.0]
0008059	Naegeli-Franceschetti-Jadassohn syndrome	[Q82.4]
0024982	salmonella infections, animal	[]
0009380	Dubin-Johnson syndrome	[E80.6]
0009383	transient familial neonatal hyperbilirubinemia	[P59.8]
0010344	intellectual disability, X-linked 45	[]
0010346	MRX52	[]
0011670	Ehlers-Danlos syndrome due to tenascin-X deficiency	[Q79.6]
0011671	Huntington disease-like 2	[G10]
0010340	Asperger syndrome, X-linked, susceptibility to, 1	[]
0011672	persistent polyclonal B-cell lymphocytosis	[I72.8]
0010349	ovarian dysgenesis 2	[]
0023663	obsolete macrocephaly mesodermal hamartoma spectrum	[]
0008045	spinal muscular atrophy-progressive myoclonic epilepsy syndrome	[G25.3]
0008048	autosomal dominant centronuclear myopathy	[G71.2]
0021005	faciodigitogenital syndrome	[Q87.1]
0008047	episodic ataxia type 1	[G11.8]
0009379	Rotor syndrome	[E80.6]
0008040	transient myeloproliferative syndrome (disease)	[D47.7]
0009372	encephalopathy due to hydroxykynureninuria	[E70.8]
0009370	L-2-hydroxyglutaric aciduria	[E72.8]
0010354	Allan-Herndon-Dudley syndrome	[E03.1,G31.8]
0011686	DNA ligase IV deficiency	[D81.1]
0010355	syndromic X-linked intellectual disability Claes-Jensen type	[Q87.8]
0011687	Charcot-Marie-Tooth disease axonal type 2F	[G60.0]
0010356	nephrogenic syndrome of inappropriate antidiuresis	[E22.2]
0011688	muscular dystrophy-dystroglycanopathy type B5	[G71.2]
0010350	premature ovarian failure 2A	[]
0010351	Fanconi anemia complementation group b	[]
0011683	oculocutaneous albinism type 4	[E70.3]
0011684	vitiligo-associated multiple autoimmune disease susceptibility 1	[]
0060532	congenital heart defects and skeletal malformations syndrome	[]
0060533	microcephaly, short stature, and limb abnormalities	[]
0000902	agenesis of the corpus callosum with peripheral neuropathy	[G60.0]
0000903	myoclonus-dystonia syndrome	[G24.1]
0000908	arrhythmogenic right ventricular dysplasia 13	[I42.8]
0000909	Bartter disease type 4B	[E26.8]
0012904	epilepsy, progressive myoclonic, 1B	[]
0012906	primary ciliary dyskinesia 9	[Q34.8]
0012905	hypomyelinating leukodystrophy 6	[E75.2]
0012900	cardiomyopathy, familial restrictive, 3	[]
0012908	complement component 6 deficiency	[D84.1]
0012909	skeletal defects, genital hypoplasia, and mental retardation	[]
0060564	helix syndrome	[]
0060562	encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities	[]
0060568	Pilarowski-Bjornsson syndrome	[]
0000913	hereditary spherocytosis type 2	[]
0000918	endometritis	[]
0060577	neurodevelopmental disorder with microcephaly, ataxia, and seizures	[]
0060578	neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures	[]
0060582	auditory neuropathy-optic atrophy syndrome	[]
0060583	platelet abnormalities with eosinophilia and immune-mediated inflammatory disease	[]
0060585	neuronopathy, distal hereditary motor, type 9	[]
0060589	facial palsy, congenital, with ptosis and velopharyngeal dysfunction	[]
0012859	autosomal recessive osteopetrosis 7	[Q78.2]
0011529	spinocerebellar ataxia type 13	[G11.2]
0012856	Birk-Barel syndrome	[Q87.8]
0012855	Joubert syndrome 8	[]
0012858	primary CD59 deficiency	[D84.1]
0009203	focal facial dermal dysplasia type III	[Q82.8]
0010200	Wilson disease	[E83.0,E83.01]
0011532	hereditary spastic paraplegia 13	[G11.4]
0011533	temtamy preaxial brachydactyly syndrome	[Q87.2]
0012865	Pseudofolliculitis barbae	[L73.1]
0012864	chromosome 2q32-q33 deletion syndrome	[Q93.5]
0011534	Charcot-Marie-Tooth disease type 4G	[G60.0]
0012861	premature ovarian failure 6	[]
0012860	thrombophilia due to protein C deficiency, autosomal recessive	[]
0011539	nemaline myopathy 5	[G71.2]
0010208	wrinkly skin syndrome	[Q82.8]
0012866	hereditary spastic paraplegia 35	[G11.4]
0012869	intellectual disability, autosomal dominant 22	[]
0010206	hypotrichosis 8	[]
0011537	macrocephaly-autism syndrome	[]
0012868	thrombophilia due to protein S deficiency, autosomal dominant	[D68.8]
0010211	xeroderma pigmentosum group C	[Q82.1]
0012873	Ehlers-Danlos syndrome, spondylocheirodysplastic type	[Q79.6]
0012876	heparin cofactor 2 deficiency	[]
0010213	xeroderma pigmentosum group E	[Q82.1]
0011544	paragangliomas 3	[]
0010214	xeroderma pigmentosum variant type	[Q82.1]
0011545	autosomal dominant nocturnal frontal lobe epilepsy 3	[]
0011540	spinocerebellar ataxia type 14	[G11.2]
0010210	xeroderma pigmentosum group A	[Q82.1]
0011541	dilated cardiomyopathy 1J	[]
0011506	familial infantile myoclonic epilepsy	[G40.3]
0011508	lymphoma, non-Hodgkin, familial	[]
0009229	hyaline fibromatosis syndrome	[]
0012839	pyogenic bacterial infections due to MyD88 deficiency	[D84.8]
0011502	Wolfram syndrome 2	[E13.8]
0011503	cortisone reductase deficiency 1	[]
0011504	NDE1-related microhydranencephaly	[Q04.8]
0011505	familial hypobetalipoproteinemia 2	[]
0009223	hypogonadotropic hypogonadism 23 with or without anosmia	[Q56.1]
0009226	fibrochondrogenesis 1	[]
0012840	inflammatory bowel disease 17	[]
0011510	Bohring-Opitz syndrome	[Q87.8]
0011512	Brooke-Spiegler syndrome	[]
0011517	pseudohyperaldosteronism type 2	[I15.1]
0012849	Joubert syndrome 9	[]
0012848	Meckel syndrome, type 6	[Q61.9]
0011519	autosomal dominant nonsyndromic deafness 23	[H90.3]
0009218	Farber lipogranulomatosis	[E75.2]
0012845	inflammatory bowel disease 19	[]
0011514	tricuspid atresia (disease)	[Q22.4]
0012847	autosomal recessive congenital ichthyosis 6	[Q80.2]
0012846	GEFSP6	[]
0009210	congenital factor V deficiency	[D68.2]
0009213	Fanconi anemia complementation group C	[]
0009214	Fanconi anemia complementation group D2	[]
0000878	cytomegalovirus retinitis	[]
0012851	hypophosphatemic nephrolithiasis/osteoporosis 2	[]
0012854	bilateral microtia-deafness-cleft palate syndrome	[Q87.0]
0012853	progeroid syndrome, Petty type	[E34.8]
0011523	Bardet-Biedl syndrome 6	[Q87.89]
0012850	hypophosphatemic nephrolithiasis/osteoporosis 1	[]
0012816	atrial fibrillation, familial, 6	[]
0012817	Ewing sarcoma	[C40.3,C40.2,C40.1,C41.4,C41.3,C41.2,C40.0]
0012812	epileptic encephalopathy, early infantile, 4	[]
0000831	thrombotic disease	[]
0012819	diabetic ketoacidosis	[]
0000827	salmonellosis	[A02.0]
0060507	retinal dystrophy with or without macular staphyloma	[]
0012828	atrial fibrillation, familial, 7	[]
0012825	extraskeletal myxoid chondrosarcoma	[C49.9]
0012824	hypomyelinating leukodystrophy 4	[E75.2]
0060502	neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies	[]
0000816	abdominal obesity-metabolic syndrome	[]
0012832	inflammatory bowel disease 14	[]
0011500	Becker nevus syndrome	[D22.5]
0012831	inflammatory bowel disease 13	[]
0060510	Cohen-Gibson syndrome	[]
0012805	childhood onset GLUT1 deficiency syndrome 2	[G24.8]
0012804	hypertrophic cardiomyopathy 12	[]
0012807	epidermolysis bullosa simplex with pyloric atresia	[Q81.0]
0012806	ectodermal dysplasia and immunodeficiency 2	[]
0060527	maleylacetoacetate isomerase deficiency	[]
0012803	diarrhea-vomiting due to trehalase deficiency	[E74.3]
0012802	oculoauricular syndrome	[Q87.8]
